id;id_line;plant;shop;date_of_validation;validation_result;visual_inspection;oem_checklist;cable_certification_for_relevant_cabling;number_of_profinet_devices;number_of_devices;additional_checks_for_frame_errors;number_of_scp;max_traffic_load_on_the_network;max_traffic_load_on_the_network_percent;max_profinet_traffic_load_on_the_network;max_profinet_traffic_load_on_the_network_percent;plc_count;rings_count
23;23;Q;ASSEMBLY;T006;INCOMPLETE;Yes - Fail;Pass;Yes - Pass;188;188;;1;21.499;10.7495;20.025;10.0125;1;0
89;86;P;BODY;T006;INCOMPLETE;Yes - Fail;Pass;Yes - Pass;60;60;;1;25.389;12.6945;25.296;12.648;1;1
90;87;P;BODY;T006;INCOMPLETE;Yes - Fail;Pass;Yes - Pass;41;41;;1;16.395;8.1975;16.345;8.1725;1;1
399;396;O;ASSEMBLY;T006;INCOMPLETE;;;Yes - Pass;14;14;;1;0;0;0;0;1;1
1;1;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;16;16;;1;7.47;3.735;7.299;3.6495;1;0
2;2;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;9;9;;1;4.542;2.271;4.449;2.2245;1;0
3;3;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;9;9;;1;0;0;0;0;1;0
4;4;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;9;9;;1;0;0;0;0;1;0
5;5;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;52;52;;1;25.68;12.84;24.106;12.053;1;1
6;6;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;146;146;;1;50.686;25.343;48.624;24.312;1;1
7;7;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;11;11;;1;4.666;2.333;4.601;2.3005;1;0
8;8;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;6;6;;1;3.68;1.84;3.617;1.8085;1;0
9;9;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;9;9;;1;3.385;1.6925;3.321;1.6605;1;0
12;12;Q;ASSEMBLY;T006;PASS;Yes- Fail;Pass;Yes - Pass;21;21;;1;8.587;4.2935;8.368;4.184;1;1
15;15;Q;ASSEMBLY;T006;PASS;Yes- Fail;Pass;Yes - Pass;99;99;;1;35.963;17.9815;35.47;17.735;1;1
17;17;Q;ASSEMBLY;T006;PASS;Yes- Fail;Pass;Yes - Pass;37;37;;1;2.405;1.2025;2.176;1.088;1;1
19;19;Q;ASSEMBLY;T006;PASS;Yes- Fail;Pass;Yes - Pass;190;190;;1;73.1;36.55;71.206;35.603;1;1
20;20;Q;ASSEMBLY;T006;PASS;Yes- Fail;Pass;Yes - Pass;159;159;;1;60.522;30.261;58.729;29.3645;1;1
